reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2021,7(a),7.4879,44.8941,Ammonia (NH3),10330.0,523.6345096461334,0,0,1,0,0,0,0,0
2023,7(a),9.978333,44.953611,Ammonia (NH3),12173.0,395.46121297512906,0,0,1,0,0,0,0,0
2022,2(b),17.1999,40.5167,Naphthalene,221.21,422.49503361756746,0,0,0,0,0,0,1,0
2024,2(b),12.6667,42.5667,Mercury and compounds (as Hg),53.5,75.14187357873665,0,0,0,0,0,0,1,0
2024,7(a),7.841944,44.813333,Ammonia (NH3),11144.0,496.17923814475057,0,0,1,0,0,0,0,0
2022,7(a),9.9859,45.4303,Ammonia (NH3),24704.0,441.10970206560324,0,0,1,0,0,0,0,0
2024,7(a),9.786667,45.4725,Ammonia (NH3),12516.0,452.7316675999643,0,0,1,0,0,0,0,0
2021,7(a),10.137634,45.313273,Ammonia (NH3),11753.0,424.0731248099992,0,0,1,0,0,0,0,0
2024,3(c),16.4489,38.9141,Nitrogen oxides (NOX),258200.0,471.52423078778224,0,0,0,1,0,0,0,0
2022,9(c),14.2753,40.9378,Non-methane volatile organic compounds (NMVOC),532100.0,183.0654843889624,0,0,0,0,1,0,0,0
2024,1(a),8.7858,45.4372,Benzene,3273.4745,493.3600021474541,0,1,0,0,0,0,0,0
2021,7(a),10.6066,45.3474,Ammonia (NH3),19400.0,412.0882655073563,0,0,1,0,0,0,0,0
2023,7(a),10.879492,45.229942,Ammonia (NH3),20581.0,392.2042619421258,0,0,1,0,0,0,0,0
2021,7(a),11.8899,44.6232,Ammonia (NH3),26850.0,306.4526368397821,0,0,1,0,0,0,0,0
2023,7(a),11.876917,45.762833,Ammonia (NH3),25965.0,432.07871033366393,0,0,1,0,0,0,0,0
2021,3(e),11.1619,45.4211,Nitrogen oxides (NOX),320000.0,405.66099670163334,0,0,0,1,0,0,0,0
2022,3(c),15.180555,37.194444,Benzene,1058.4,571.8128643506107,0,0,0,1,0,0,0,0
2022,7(a),12.0511,44.4681,Ammonia (NH3),15990.0,287.5226761084846,0,0,1,0,0,0,0,0
2021,4(a),18.0022,40.6395,Benzene,2428.83,481.00117134663145,1,0,0,0,0,0,0,0
2021,2(b),12.6667,42.5667,Chromium and compounds (as Cr),176.0,75.14187357873665,0,0,0,0,0,0,1,0
2024,8(c),10.918,44.732,Hydro-fluorocarbons (HFCS),217.0,339.5024377552208,0,0,0,0,0,0,0,0
